rank,file,score,score_pct,max_score,hill_score,hill_pct,gradual_score,gradual_pct,wins,losses,ties,total_rounds,win_pct,tie_pct,loss_pct,avg_win_cycles,avg_loss_cycles,avg_tsp,avg_mc,n_opponents
1,quicksilver88.red,18616.00,81.56,22824.00,18616.00,81.56,23187.26,78.15,5622,236,1750,7608,73.90,23.00,3.10,8218.8,26505.9,6636.25,6675.20,317
2,herempaper.red,17753.00,77.78,22824.00,17753.00,77.78,21754.20,73.32,5214,283,2111,7608,68.53,27.75,3.72,12563.8,32195.3,9898.95,3409.22,317
3,oneshot88.red,17450.00,76.45,22824.00,17450.00,76.45,20139.10,67.87,5322,802,1484,7608,69.95,19.51,10.54,36206.9,16732.1,3958.12,76.61,317
4,gymnospermtrickery.red,17413.00,76.29,22824.00,17413.00,76.29,21817.00,73.53,5286,767,1555,7608,69.48,20.44,10.08,7375.4,22215.7,20817.46,43.96,317
5,paradox.red,17251.00,75.58,22824.00,17251.00,75.58,20543.81,69.24,4936,229,2443,7608,64.88,32.11,3.01,21616.0,44318.6,10921.13,2408.01,317
6,pacman3.red,17088.00,74.87,22824.00,17088.00,74.87,21136.14,71.23,5158,836,1614,7608,67.80,21.21,10.99,11552.3,18252.1,4340.89,184.20,317
7,notepaper.red,16995.00,74.46,22824.00,16995.00,74.46,20454.85,68.94,4847,307,2454,7608,63.71,32.26,4.04,17549.6,35509.4,13803.84,3140.64,317
8,gisela609.red,16888.00,73.99,22824.00,16888.00,73.99,20506.69,69.11,5105,930,1573,7608,67.10,20.68,12.22,18386.1,17230.3,4771.36,149.45,317
9,winter.red,16843.00,73.80,22824.00,16843.00,73.80,19555.20,65.91,5047,859,1702,7608,66.34,22.37,11.29,33102.4,11505.8,16783.50,135.79,317
10,blurstone88.red,16776.00,73.50,22824.00,16776.00,73.50,20543.83,69.24,5109,1050,1449,7608,67.15,19.05,13.80,15535.8,11937.0,22445.29,167.12,317
11,nimbus12.red,16636.00,72.89,22824.00,16636.00,72.89,20314.70,68.47,4717,406,2485,7608,62.00,32.66,5.34,11569.8,23333.5,11189.16,6467.55,317
12,impsimpsimps.red,16617.00,72.80,22824.00,16617.00,72.80,19917.46,67.13,4547,85,2976,7608,59.77,39.12,1.12,15857.4,45469.7,2999.76,7285.64,317
